config,workload,rep,seconds
oracle,comp,9,0.0300
oracle,decomp,9,0.0122
base,decomp,9,0.0116
base,comp,9,0.0292
oracle,decomp,10,0.0118
oracle,comp,10,0.0304
base,comp,10,0.0313
base2x,decomp,10,0.0121
base2x,comp,10,0.0296
base,decomp,10,0.0120
base,decomp,1,0.0119
base2x,decomp,1,0.0119
oracle,comp,1,0.0296
base,comp,1,0.0294
oracle,decomp,1,0.0121
base2x,comp,1,0.0297
base,decomp,2,0.0120
base2x,decomp,2,0.0118
base2x,comp,2,0.0298
oracle,comp,2,0.0296
base,comp,2,0.0295
oracle,decomp,2,0.0120
oracle,comp,3,0.0295
base,decomp,3,0.0120
base2x,decomp,3,0.0119
base2x,comp,3,0.0296
oracle,decomp,3,0.0120
base,comp,3,0.0295
base,comp,4,0.0295
oracle,comp,4,0.0295
oracle,decomp,4,0.0119
base2x,decomp,4,0.0119
base2x,comp,4,0.0295
base,decomp,4,0.0119
oracle,comp,5,0.0295
base2x,decomp,5,0.0118
base,comp,5,0.0294
oracle,decomp,5,0.0120
base2x,comp,5,0.0300
base,decomp,5,0.0120
base,comp,6,0.0299
oracle,decomp,6,0.0120
base2x,decomp,6,0.0118
oracle,comp,6,0.0299
base,decomp,6,0.0122
base2x,comp,6,0.0300
oracle,decomp,7,0.0119
oracle,comp,7,0.0293
base2x,comp,7,0.0295
base,comp,7,0.0297
base2x,decomp,7,0.0119
base,decomp,7,0.0115
base,decomp,8,0.0114
base,comp,8,0.0290
oracle,comp,8,0.0297
oracle,decomp,8,0.0119
base2x,decomp,8,0.0117
base2x,comp,8,0.0292
base2x,decomp,9,0.0119
base,decomp,9,0.0117
oracle,comp,9,0.0293
oracle,decomp,9,0.0119
base,comp,9,0.0294
base2x,comp,9,0.0296
base2x,comp,10,0.0295
oracle,comp,10,0.0302
oracle,decomp,10,0.0119
base2x,decomp,10,0.0117
base,comp,10,0.0294
base,decomp,10,0.0120
base,comp,1,0.4008
base2x,decomp,1,0.1608
oracle,decomp,1,0.1584
base2x,comp,1,0.3984
oracle,comp,1,0.3769
base,decomp,1,0.1605
oracle,comp,2,0.3549
oracle,decomp,2,0.1626
base,comp,2,0.3931
base2x,decomp,2,0.1590
base,decomp,2,0.1591
base2x,comp,2,0.3987
base2x,decomp,3,0.1564
base2x,comp,3,0.3987
base,decomp,3,0.1516
base,comp,3,0.3766
oracle,decomp,3,0.1588
oracle,comp,3,0.3771
base,decomp,4,0.1612
oracle,comp,4,0.3757
oracle,decomp,4,0.1608
base,comp,4,0.3902
base2x,decomp,4,0.1600
base2x,comp,4,0.3819
oracle,decomp,5,0.1596
base,comp,5,0.4003
oracle,comp,5,0.3803
base,decomp,5,0.1588
base2x,decomp,5,0.1583
base2x,comp,5,0.3778
base,decomp,6,0.1520
base2x,comp,6,0.3985
base2x,decomp,6,0.1612
base,comp,6,0.3994
oracle,decomp,6,0.1616
oracle,comp,6,0.3765
oracle,decomp,7,0.1576
oracle,comp,7,0.3836
base,comp,7,0.3815
base2x,comp,7,0.3998
base,decomp,7,0.1612
base2x,decomp,7,0.1508
oracle,comp,8,0.3779
base2x,comp,8,0.3997
base,decomp,8,0.1590
base2x,decomp,8,0.1581
oracle,decomp,8,0.1583
base,comp,8,0.4001
oracle,decomp,9,0.1589
base2x,decomp,9,0.1605
oracle,comp,9,0.3783
base2x,comp,9,0.3822
base,comp,9,0.3812
base,decomp,9,0.1538
base2x,comp,10,0.3735
base2x,decomp,10,0.1610
base,comp,10,0.4015
oracle,comp,10,0.3721
base,decomp,10,0.1579
oracle,decomp,10,0.1602
base2x,decomp,11,0.1576
base2x,comp,11,0.3757
