spec,config,size_mb,traps_in,traps_final,bin_bytes,text_bytes,clang_s,oracle_s,o3_s,backend_link_s,total_compile_s,min_run_s,avg_run_s,runs_s
none,base,8,0,0,195832,181446,3.328,0.000,0.000,2.041,5.369,0.048,0.050,"0.050;0.048;0.049;0.050;0.050;0.051;0.050;0.049;0.051;0.050"
none,base,64,0,0,195832,181446,3.328,0.000,0.000,2.041,5.369,0.356,0.358,"0.359;0.356;0.360;0.357;0.361;0.357;0.359;0.356;0.358;0.359"
both,base,8,1298,1298,208120,192094,3.522,0.000,0.000,2.270,5.792,1.186,1.189,"1.186;1.191;1.189;1.194;1.186;1.189;1.190;1.188;1.188;1.188"
both,base,64,1298,1298,208120,192094,3.522,0.000,0.000,2.270,5.792,1.183,1.189,"1.189;1.183;1.185;1.191;1.188;1.189;1.188;1.189;1.199;1.185"
both,base2x,8,1298,1296,212216,197286,3.522,0.000,2.258,2.386,8.166,1.186,1.189,"1.190;1.188;1.189;1.186;1.189;1.194;1.188;1.189;1.186;1.191"
both,base2x,64,1298,1296,212216,197286,3.522,0.000,2.258,2.386,8.166,1.183,1.189,"1.183;1.192;1.198;1.189;1.186;1.187;1.191;1.194;1.189;1.185"
both,oracle,8,1298,1152,212216,195846,3.522,208.924,2.221,2.297,216.964,1.184,1.189,"1.188;1.195;1.185;1.193;1.190;1.186;1.188;1.190;1.184;1.188"
both,oracle,64,1298,1152,212216,195846,3.522,208.924,2.221,2.297,216.964,1.184,1.189,"1.189;1.187;1.185;1.191;1.192;1.190;1.189;1.192;1.191;1.184"
